timestamp,cpu_usage,ram_usage,disk_usage,bytes_sent,bytes_received,packets_sent,packets_received,active_connections,response_time_ms
2026-08-19 12:11:32,12.0,84.6,71.8,3404430,17182727,6775,8301,104,510.76
2026-08-19 12:11:39,17.5,84.5,71.8,3428571,17224004,6823,8369,108,452.26
2026-08-19 12:12:59,28.0,85.6,71.8,4469244,17857876,7400,9385,112,490.17
2026-08-19 12:13:05,7.7,84.6,71.8,4488568,17899982,7439,9437,112,427.31
2026-08-19 12:13:12,13.2,85.4,71.8,4534900,17938364,7482,9499,106,499.26
2026-08-19 12:13:18,18.7,88.4,71.8,4812982,19689756,8260,11212,161,464.58
2026-08-19 12:13:25,10.1,89.0,71.8,4895569,20839064,8508,12222,161,457.32
2026-08-19 12:13:31,20.4,89.3,71.8,5030421,24153574,8984,14900,162,461.14
2026-08-19 12:13:38,13.2,91.3,71.8,5195167,28910557,9820,18700,164,438.28
2026-08-19 12:13:44,17.1,89.5,71.8,5248010,30221300,10043,19775,144,464.29
2026-08-19 12:13:51,9.9,88.7,71.8,5271686,30638268,10119,20127,139,465.66
2026-08-19 12:13:57,11.5,88.8,71.8,5277428,30657022,10142,20163,132,459.65
2026-08-19 12:14:04,11.0,88.6,71.8,5288911,30694059,10180,20217,124,458.62
2026-08-19 12:14:10,14.1,88.5,71.8,5294368,30718857,10198,20255,124,445.53
2026-08-19 12:14:17,20.7,89.4,71.8,5393174,32089722,10467,21428,132,447.02
2026-08-19 12:14:23,14.7,88.4,71.8,5484573,34928756,10905,23720,132,430.75
2026-08-19 12:14:30,12.2,87.6,71.8,5506837,35447395,10989,24151,134,440.45
2026-08-19 12:14:36,6.2,87.7,71.8,5533164,35915422,11077,24548,135,428.62
2026-08-19 12:14:43,22.9,89.0,71.8,5715213,40402173,11825,28179,137,571.18
2026-08-19 12:14:49,3.9,89.2,71.8,5801233,41971615,12123,29498,137,465.92
2026-08-19 12:14:56,19.8,89.6,71.8,5935361,45065832,12680,32037,142,443.22
2026-08-19 12:15:02,15.7,91.6,71.8,6154312,49896460,13542,36039,154,538.8
2026-08-19 12:15:09,36.8,92.5,71.8,6626826,53535045,15286,39885,261,581.81
2026-08-19 12:15:15,3.0,90.3,71.8,6657699,53600404,15371,40005,254,500.32
2026-08-19 12:15:23,65.7,98.4,71.8,7395587,60186427,19080,45890,505,1777.85
2026-08-19 12:15:32,35.7,95.8,72.8,8342764,61500869,23740,50275,973,2772.27
2026-08-19 12:15:39,11.2,90.1,72.8,8877256,62974937,26300,53406,1042,443.43
2026-08-19 12:15:45,18.6,89.4,72.8,8897908,63028675,26379,53604,1038,449.13
2026-08-19 12:15:52,31.5,89.0,72.8,9018939,63117011,26628,53896,979,458.22
2026-08-19 12:16:00,35.1,93.6,72.8,9588872,63742716,29167,56192,1236,2039.73
2026-08-19 12:16:06,17.8,93.4,72.8,9911194,64393746,30602,57986,1255,441.77
2026-08-19 12:16:13,12.7,92.8,72.8,9928382,64428710,30719,58158,1241,473.39
2026-08-19 12:16:19,14.8,89.4,72.8,9947141,64453921,30854,58320,1225,436.91
2026-08-19 12:16:26,13.6,89.2,72.8,9953624,64488413,30890,58383,1212,436.07
2026-08-19 12:16:32,32.3,91.0,72.8,9961503,64514707,30946,58512,1193,444.84
2026-08-19 12:16:39,27.6,95.8,72.8,10002050,64605497,31104,58689,1194,447.02
2026-08-19 12:16:45,46.3,96.2,72.8,10033607,64675212,31284,58885,1197,464.49
2026-08-19 12:16:52,10.6,93.8,72.8,10090676,64726388,31431,59051,1191,478.72
2026-08-19 12:16:58,35.4,94.7,72.8,10109324,64754244,31539,59185,1181,512.35
2026-08-19 12:17:05,44.6,96.1,72.8,10179480,65228676,31907,59670,1161,505.05
2026-08-19 12:17:12,45.5,95.9,72.8,10224501,65323635,32026,59824,1113,479.86
2026-08-19 12:17:18,39.9,95.3,72.8,10265753,65378132,32348,60060,997,469.38
2026-08-19 12:17:25,48.4,95.8,72.8,10313928,65467801,32687,60337,677,462.47
2026-08-19 12:17:31,20.5,89.4,72.8,10513654,65534615,32908,60518,544,429.65
2026-08-19 12:17:38,53.0,92.5,72.8,10540650,65587444,33001,60622,482,445.69
2026-08-19 12:17:44,15.9,94.0,72.8,10551164,65630516,33042,60701,479,455.18
2026-08-19 12:17:51,21.0,94.1,72.8,10557985,65656791,33065,60749,479,430.48
2026-08-19 12:17:57,16.2,91.1,72.8,10563264,65682281,33081,60776,314,454.77
2026-08-19 12:18:04,39.4,87.5,72.8,10574481,65717598,33109,60820,265,466.2
2026-08-19 12:18:10,19.8,87.5,72.8,10580380,65749722,33132,60875,262,428.64
2026-08-19 12:18:16,18.2,87.6,72.8,10587638,65774137,33154,60912,262,436.82
2026-08-19 12:18:23,22.6,87.6,72.8,10603189,65802158,33200,60966,262,438.38
2026-08-19 12:18:29,23.6,87.7,72.8,10616080,65834870,33242,61023,262,449.81
2026-08-19 12:18:36,22.5,87.9,72.8,10626270,65869195,33291,61088,258,443.92
2026-08-19 12:18:42,11.3,88.8,72.8,10732086,66091919,33723,61562,308,439.18
2026-08-19 12:18:49,15.0,88.5,72.8,10741624,66123703,33754,61629,302,434.86
2026-08-19 12:18:55,12.8,89.3,72.8,10747652,66150004,33780,61663,301,461.52
2026-08-19 12:19:02,14.0,89.1,72.8,10756748,66181932,33805,61708,299,435.86
2026-08-19 12:19:08,17.6,89.3,72.8,10770630,66210272,33847,61769,297,631.19
2026-08-19 12:19:15,14.4,89.3,72.8,10776221,66230818,33866,61797,282,473.02
2026-08-19 12:19:22,14.0,89.1,72.8,10783748,66264501,33896,61838,229,517.34
2026-08-19 12:19:28,17.3,88.6,72.8,10789573,66296139,33919,61889,140,507.65
2026-08-19 12:19:35,14.7,88.4,72.8,10795233,66322079,33939,61925,137,462.55
2026-08-19 12:19:41,14.3,88.6,72.8,10801479,66344602,33963,61958,137,436.76
2026-08-19 12:19:48,15.8,88.9,72.8,10831571,66391555,34021,62051,140,430.03
2026-08-19 12:19:54,17.4,90.3,72.8,10852958,66433377,34087,62127,144,463.14
2026-08-19 12:20:01,16.3,89.6,72.8,10870153,66460771,34130,62182,144,523.06
2026-08-19 12:20:07,29.3,88.4,72.8,10879118,66492672,34161,62226,144,562.9
2026-08-19 12:20:14,21.5,86.1,72.8,10891783,66528497,34214,62294,149,459.61
2026-08-19 12:20:20,23.1,86.4,72.8,10980385,66673279,34500,62618,177,432.23
2026-08-19 12:20:27,16.2,86.0,72.8,10986039,66692729,34521,62653,176,436.58
2026-08-19 12:20:33,12.3,86.0,72.8,10991610,66723648,34541,62690,176,455.62
2026-08-19 12:20:40,15.9,86.3,72.8,11006023,66783834,34594,62763,159,516.03
2026-08-19 12:20:46,14.9,86.4,72.8,11026133,66858449,34659,62882,147,450.04
